Тип підприємства;Підприємство;Область;Кіл-ть робочих місць;Сума інвестицій, млн.грн
Електростанції;Сонячна електростанція;Дніпропетровська;NA;20
Електростанції;"Сонячна електростанція ""Велітон-2,5""";Херсонська;NA;NA
Електростанції;"Сонячна електростанція ""Верховка-2,8""";Вінницька;NA;NA
Електростанції;"Сонячна електростанція ""Велиген-6,0""";Херсонська;NA;NA
Електростанції;"Сонячна електростанція ""Глубочок""";Вінницька;NA;NA
Електростанції;Сонячна електростанція;Вінницька;NA;NA
Електростанції;Сонячна електростанція;Вінницька;NA;NA
Електростанції;Сонячна електростанція м.Каховка;Херсонська;NA;NA
Електростанції;Сонячна електростанція;Вінницька;NA;NA
Електростанції;Сонячна електростанція;Вінницька;NA;NA
Електростанції;Сонячна електростанція;Закарпатська;NA;NA
Електростанції;Сонячна електростанція;Вінницька;NA;NA
Електростанції;Сонячна електростанція; Чернівецька;NA;NA
Електростанції;Сонячна електростанція;Дніпропетровська;NA;NA
Електростанції;Сонячна електростанція;Дніпропетровська;25;NA
Електростанції;Сонячна електростанція;Миколаївська;NA;NA
Електростанції;"Сонячна електростанція ""Гута-2""";Закарпатська;NA;NA
Електростанції;Сонячна електростанція СЕ-3;Закарпатська;NA;NA
Електростанції;"Сонячна електростанція ""Кам'янече""";Кіровоградська;10;70
Електростанції;"Сонячна електростанція ""Озерна""";Львівська;NA;NA
Електростанції;"Сонячна електростанція ""Красне""";Одеська;NA;NA
Електростанції;"Сонячна електростанція ""Броварська""";Київська;NA;NA
Електростанції;"Сонячна електростанція ""Фабрика""";Херсонська;NA;NA
Електростанції;Сонячна електростанція;Одеська;NA;NA
Електростанції;Сонячна електростанція;Львівська;NA;NA
Електростанції;Сонячна електростація;Львівська;NA;NA
Електростанції;"Сонячна електроснація ""Яворів""";Львівська;NA;2080
Електростанції;Трифонівська сонячна електростанція;Херсонська;NA;NA
Електростанції;СЕС Солар Парк Веселе;Запорізька;NA;NA
Електростанції;Самбірська сонячна станція-2;Львівська;NA;NA
Електростанції;Сонячна електростанція;Херсонська;NA;NA
Електростанції;Сонячна електростанція;Херсонська;NA;NA
Електростанції;Чорноминська СЕС 2;Вінницька;NA;NA
Електростанції;Димерська сонячна електростанція;Київська;NA;NA
Електростанції;Геліосистема;Донецька;NA;5
Електростанції;"Сонячна електростанція ""Рубанівка""";Херсонська;12;30
Електростанції;Сонячна електростанція;Херсонська;NA;NA
Електростанції;Сонячна електростанція;Запорізька;NA;NA
Електростанції;Сонячна електростанція;Запорізька;NA;NA
Електростанції;"Сонячна електростанція ""Терновиця""";Львівська;NA;149
Електростанції;"Сонячна електростанція ""Солар Чорнобиль-1""";Київська;NA;NA
Електростанції;Сонячна електростанція;Хмельницька;NA;NA
Електростанції;Сонячна електростанція;Хмельницька;NA;NA
Електростанції;Сонячна електростанція;Хмельницька;NA;NA
Електростанції;Сонячна електроснація;Одеська;NA;NA
Електростанції;"Сонячна електростанція ""Іванівка-2""";Кіровоградська;NA;NA
Електростанції;Сонячна електростанція;Кіровоградська;NA;0.093
Електростанції;Сонячна електростанція;Кіровоградська;NA;NA
Електростанції;"Сонячна електростанція ""ТАВАНЬ СОЛАР 1""";Херсонська;NA;NA
Електростанції;"Сонячна електростанція ""ТАВАНЬ СОЛАР 2""";Херсонська;NA;NA
Електростанції;"Сонячна електростанція ""ТАВАНЬ СОЛАР 3""";Херсонська;NA;NA
Електростанції;Сонячна електростанція;Одеська;NA;NA
Електростанції;Сонячна електростанція;Вінницька;NA;21
Електростанції;"Сонячна електростанція ""Добрівлянська ФЕС""";Тернопільська;10;120
Електростанції;Сонячна електростанція;Івано-Франківська;NA;NA
Електростанції;Сонячна електростанція;Миколаївська;NA;68
Електростанції;Сонячна електростанція;Івано-Франківська;NA;NA
Електростанції;Сонячна електростанція;Дніпропетровська;NA;NA
Електростанції;Сонячна електростанція;Дніпропетровська;NA;NA
Електростанції;Сонячна електростанція;Запорізька;75;NA
Електростанції;Сонячна електростанція;Дніпропетровська;450;8160
Електростанції;Нікопольська СЕС;Дніпропетровська;NA;7360
Електростанції;Сонячна електростанція;Херсонська;NA;NA
Електростанції;"Сонячна електростанція ""Богуслав 1""";Київська;NA;NA
Електростанції;Сонячна електростанція;Кіровоградська;NA;NA
Електростанції;Сонячна електростанція;Дніпропетровська;NA;NA
Електростанції;"Сонячна електростанція ""Щирець-1""";Львівська;NA;64
Електростанції;Сонячна електростанція;Дніпропетровська;NA;NA
Електростанції;Сонячна електростанція;Кіровоградська;NA;NA
Електростанції;Сонячна електростанція;Хмельницька;NA;NA
Електростанції;Сонячна електростанція;Хмельницька;NA;NA
Електростанції;Сонячна електростанція;Вінницька;NA;NA
Електростанції;Сонячна електростанція; Чернівецька;NA;NA
Електростанції;Сонячна електростанція;Івано-Франківська;NA;NA
Електростанції;Дахова сонячна електростанція;Херсонська;NA;NA
Електростанції;Сонячна електростанція;Херсонська;NA;NA
Електростанції;Сонячна електростанція;Херсонська;NA;NA
Електростанції;Сонячна електростанція;Кіровоградська;NA;NA
Електростанції;Сонячна електростанція;Кіровоградська;NA;NA
Електростанції;Сонячна електростанція;Київська;NA;NA
Електростанції;Сонячна електростанція;Харківська;NA;NA
Електростанції;Сонячна електростанція;Івано-Франківська;NA;NA
Електростанції;"Сонячна електростанція ""Монастирчани""";Івано-Франківська;NA;NA
Електростанції;Сонячна електростанція;Закарпатська;NA;NA
Електростанції;Сонячна електростанція;Івано-Франківська;NA;NA
Електростанції;Сонячна електростанція;Запорізька;NA;NA
Електростанції;Сонячна електростанція;Житомирська;NA;NA
Електростанції;Сонячна електростанція;Дніпропетровська;NA;NA
Електростанції;"Сонячна електростанція ""Сонячна""";Кіровоградська;NA;170
Електростанції;Гібридна електростанція;Одеська;150;13390
Електростанції;Сонячна електростанція;Одеська;12;NA
Електростанції;Сонячна електростанція;Хмельницька;8;NA
Електростанції;Сонячна електростанція;Дніпропетровська;20;NA
Електростанції;Сонячна електростанція;Херсонська;10;NA
Електростанції;Сонячна електростанція;Одеська;NA;NA
Електростанції;Сонячна електростанція;Херсонська;NA;NA
Електростанції;Сонячна електростанція;Одеська;NA;NA
Електростанції;Сонячна електростанція;Івано-Франківська;NA;NA
Електростанції;Сонячна електростанція;Івано-Франківська;NA;NA
Електростанції;"Сонячна електростанція ""Маків-1""";Хмельницька;NA;NA
Електростанції;Сонячна електростанція;Херсонська;NA;NA
Електростанції;Сонячна електростанція;Хмельницька;NA;NA
Електростанції;Сонячна електростанція;Івано-Франківська;NA;NA
Електростанції;Сонячна електростанція;Івано-Франківська;NA;NA
Електростанції;Сонячна електростанція;Івано-Франківська;NA;NA
Електростанції;"Сонячна електростанція ""Веряця-1""";Закарпатська;NA;NA
Електростанції;"Сонячна електростанція ""Веряця-2""";Закарпатська;NA;NA
Електростанції;Сонячна електростанція;Миколаївська;NA;NA
Електростанції;Сонячна електростанція;Запорізька;NA;NA
Електростанції;Сонячна електростанція;Херсонська;NA;NA
Електростанції;Сонячна електростанція;Хмельницька;NA;NA
Електростанції;"Сонячна електростанція ""Миролюбівка""";Херсонська;NA;NA
Електростанції;"Сонячна електростанція ""Олешки-2""";Херсонська;NA;NA
Електростанції;"Сонячна електростанція ""Олешки-1""";Херсонська;NA;NA
Електростанції;Сонячна електростанція;Хмельницька;NA;NA
Електростанції;"Сонячна електростанція ""Енергетичні поля СЕС Терновиця Енерджі""";Львівська;NA;NA
Електростанції;Сонячна електростанція;Львівська;NA;NA
Електростанції;Сонячна електростанція;Чернігівська;4;NA
Електростанції;"Сонячна електростанція ""Либідь""";Дніпропетровська;NA;NA
Електростанції;"Сонячна електростанція ""Укртрансгазу""";Київська;NA;NA
Електростанції;Писарівська сонячна електростанція;Вінницька;NA;NA
Електростанції;"Сонячна станція ""Іванівка-160""";Черкаська;NA;NA
Електростанції;Сонячна електростанція;Кіровоградська;NA;NA
Електростанції;Сонячна електростанція;Кіровоградська;NA;NA
Електростанції;"Сонячна електростанція ""Рівнянська-2""";Кіровоградська;NA;NA
Електростанції;"Сонячна електростанція ""Рівнянська-400""";Кіровоградська;NA;NA
Електростанції;"Сонячна станція ""Рассвєт""";Кіровоградська;NA;NA
Електростанції;"Сонячна станція ""Трак-Солар""";Кіровоградська;NA;NA
Електростанції;"Сонячна електростанція ""Златодар""";Черкаська;NA;2
Електростанції;Сонячна електростанція;Львівська;NA;14
Електростанції;Сонячна електростанція;Дніпропетровська;NA;NA
Електростанції;Сонячна електростанція;Дніпропетровська;NA;NA
Електростанції;Дахова сонячна електростанція;Дніпропетровська;NA;NA
Електростанції;Дахова сонячна електростанція;Івано-Франківська;NA;NA
Електростанції;Сонячна електростанція;Київська;NA;NA
Електростанції;Сонячна електростанція; Чернівецька;NA;NA
Електростанції;Сонячна електростанція;Сумська;NA;NA
Електростанції;Сонячна електростанція;Полтавська;NA;NA
Електростанції;"Сонячна електростанція ""Монастирчани-2""";Івано-Франківська;NA;NA
Електростанції;Сонячна електростанція;Івано-Франківська;NA;NA
Електростанції;Сонячна електростанція;Хмельницька;3;22
Електростанції;Сонячна електростанція;Кіровоградська;NA;NA
Електростанції;"Вітропарк ""Причорноморський""";Миколаївська;NA;NA
Електростанції;"Вітроелектростанція ""Старий Самбір-1""";Львівська;NA;NA
Електростанції;"Вітроелектростанція ""Старий Самбір-2""";Львівська;NA;NA
Електростанції;"Вітроелектростанція ""Сокальський вітропарк""";Львівська;NA;NA
Електростанції;Вітроелектростанція;Івано-Франківська;NA;NA
Електростанції;Вітроелектростанція;Львівська;NA;NA
Електростанції;Приморська вітроелектростанція;Запорізька;NA;9600
Електростанції;Вітроелектростанція;Рівненська;NA;NA
Електростанції;"Вітроелектростанція ""Овер’янівська""";Херсонська;NA;4e3
Електростанції;"Вітроелектростанція ""Новотроїцька""";Херсонська;NA;1920
Електростанції;"Вітряний парк ""Причорноморський""";Миколаївська;NA;NA
Електростанції;Вітроелектростанція;Львівська;NA;NA
Електростанції;"Вітроелектростанція ""Дніпро-Бузька""";Херсонська;15;NA
Електростанції;Вітроелектростанція;Тернопільська;NA;NA
Електростанції;"Вітроелектростанція ""Шевченкове-1""";Івано-Франківська;NA;192
Електростанції;Вітроелектростанція;Одеська;NA;8e3
Електростанції;Вітроелектростанція;Одеська;NA;NA
Електростанції;"Вітроелектростанція ""Овід Вінд""";Одеська;NA;NA
Електростанції;Теплоелектростанція;Рівненська;NA;NA
Електростанції;Котельня на біопаливі;Чернігівська;NA;NA
Електростанції;Котельня на біопаливі;Хмельницька;NA;NA
Електростанції;Котельня на біопаливі;Хмельницька;NA;NA
Електростанції;Котельня на біопаливі;Хмельницька;NA;NA
Електростанції;Котельня на біопаливі;Хмельницька;NA;NA
Електростанції;Котельня на біопаливі;Хмельницька;NA;NA
Електростанції;Біогазова ТЕС;Черкаська;NA;NA
Електростанції;Біогазова ТЕС;Дніпропетровська;NA;NA
Електростанції;Біогазова ТЕС;Дніпропетровська;NA;NA
Електростанції;Біогазова ТЕС;Житомирська;29;NA
Електростанції;Біогазова ТЕС;Хмельницька;5;20
Електростанції;Біогазова ТЕС;Полтавська;NA;NA
Електростанції;Біогазова ТЕС;Чернігівська;NA;NA
Електростанції;Біогазова ТЕС;Волинська;NA;NA
Електростанції;Біогазова ТЕС;Хмельницька;NA;NA
Електростанції;Гідроелектростанція;Вінницька;NA;13
Електростанції;"Гідроелектростанція "" Брустурянка""";Закарпатська;NA;150
Електростанції;Каховська гідроелектростанція-2;Херсонська;NA;13440
Електростанції;гідроелектростанція Лебединська;Кіровоградська;2;NA
Електростанції;Міні-гідроелектростанція;Кіровоградська;5;44
Електростанції;Міні-гідроелектростанція;Кіровоградська;5;44
Електростанції;Міні-гідроелектростанція;Кіровоградська;5;44
Електростанції;Міні-гідроелектростанція;Житомирська;NA;21
Електростанції;Міні-гідроелектростанція;Черкаська;NA;NA
Електростанції;Міні-гідроелектростанція;Дніпропетровська;NA;6
Електростанції;Міні-гідроелектростанція;Івано-Франківська;NA;NA
Електростанції;Дністровська ГАЕС;Вінницька;NA;NA
Електростанції;Сонячна електростанція;Закарпатська;NA;NA
Електростанції;Сонячна електростанція;Полтавська;NA;NA
Елеватори/термінали;Елеватор;Кіровоградська;NA;NA
Елеватори/термінали;Зерносховища для зберігання сільськогосподарських культур;Кіровоградська;NA;2
Елеватори/термінали;"Зерновий термінал ""Баловнянська виробнича база""";Миколаївська;115;400
Елеватори/термінали;Зерновий термінал;Одеська;NA;NA
Елеватори/термінали;Зерновий термінал;Миколаївська;NA;60
Елеватори/термінали;Елеватор;Одеська;NA;45
Елеватори/термінали;Елеватор (с.Ястребове);Тернопільська;NA;NA
Елеватори/термінали;Зерновий термінал;Миколаївська;150;NA
Елеватори/термінали;Зерновий термінал Louis Dreyfus та Бруклін-Київ;Одеська;NA;NA
Елеватори/термінали;Зерновий термінал Risoil S.A.;Одеська;NA;NA
Елеватори/термінали;Зерновий термінал;Одеська;NA;NA
Елеватори/термінали;Елеватор для зберігання зерна;Тернопільська;NA;NA
Елеватори/термінали;Елеватор для зберігання зерна;Полтавська;NA;NA
Елеватори/термінали;Елеватор для зберігання зерна;Кіровоградська;2;25
Елеватори/термінали;Елеватор для сушіння зерна;Чернігівська;NA;78
Елеватори/термінали;Елеватор для очищення, сушіння зерна;Полтавська;NA;300
Елеватори/термінали;Елеватор для зберігання зерна;Полтавська;NA;NA
Елеватори/термінали;Елеватор для зберігання зерна;Чернігівська;NA;75
Елеватори/термінали;Елеватор для зберігання зерна;Тернопільська;NA;NA
Елеватори/термінали;Елеватор для зберігання зерна;Івано-Франківська;NA;NA
Елеватори/термінали;Елеватор для зберігання зерна;Вінницька;NA;NA
Елеватори/термінали;Елеватор для зберігання зерна;Тернопільська;NA;NA
Елеватори/термінали;Елеватор для зберігання зерна;Вінницька;NA;120
Елеватори/термінали;Елеватор для зберігання зерна;Житомирська;NA;7
Елеватори/термінали;Елеваторний комплекс;Запорізька;120;NA
Елеватори/термінали;Кооперативний елеватор;Дніпропетровська;NA;NA
Елеватори/термінали;Катеринопільський елеватор;Черкаська;NA;NA
Елеватори/термінали;Зерновий елеватор;Дніпропетровська;NA;80
Елеватори/термінали;Зерновий елеватор;Хмельницька;40;NA
Елеватори/термінали;Перевантажувальний термінал;Херсонська;100;NA
Елеватори/термінали;Перевантажувальний комплекс;Одеська;NA;NA
Елеватори/термінали;Елеватор;Тернопільська;NA;160
Елеватори/термінали;Зерносушильний комплекс;Кіровоградська;10;NA
Елеватори/термінали;Елеватор для зберігання зерна;Кіровоградська;NA;67
Елеватори/термінали;Елеватор для зберігання зерна;Черкаська;NA;152
Елеватори/термінали;Елеватор для зберігання зерна;Кіровоградська;NA;9
Елеватори/термінали;Елеватор для зберігання зернових і технічних культур;Кіровоградська;NA;80
Елеватори/термінали;Елеватор з прийняття, зберігання зернових культур і кукурудзи;Кіровоградська;NA;NA
Елеватори/термінали;Зерносховище по зберіганню зерна;Кіровоградська;NA;NA
Елеватори/термінали;Зерновий елеватор;Кіровоградська;NA;NA
Елеватори/термінали;Елеватор;Львівська;NA;NA
Елеватори/термінали;Зерновий елеватор;Донецька;NA;NA
Елеватори/термінали;Елеваторний комплекс;Львівська;NA;20
Елеватори/термінали;Зерновий терминал;Донецька;NA;950
Елеватори/термінали;Зерновий термінал;Одеська;500;NA
Елеватори/термінали;Перевантажувальний термінал;Миколаївська;NA;NA
Елеватори/термінали;Зерновий термінал;Запорізька;NA;70
Елеватори/термінали;Зерновий термінал;Миколаївська;NA;NA
Елеватори/термінали;Зерновий термінал;Миколаївська;NA;NA
Елеватори/термінали;Елеваторний комплекс;Львівська;12;NA
Елеватори/термінали;Елеваторний комплекс;Волинська;80;NA
Елеватори/термінали;Елеваторний комплекс;Сумська;NA;NA
Елеватори/термінали;Елеваторний комплекс;Полтавська;NA;NA
Елеватори/термінали;Елеваторний комплекс;Харківська;NA;NA
Елеватори/термінали;Елеватор;Сумська;NA;NA
Елеватори/термінали;Елеватор;Житомирська;200;NA
Елеватори/термінали;Елеватор;Черкаська;NA;NA
Елеватори/термінали;Елеватор;Вінницька;NA;NA
Елеватори/термінали;Елеватор;Черкаська;NA;NA
Елеватори/термінали;Елеватор;Тернопільська;19;NA
Елеватори/термінали;Перевантажувальний термінал;Дніпропетровська;NA;NA
Елеватори/термінали;Яреськівський елеватор;Полтавська;NA;NA
Елеватори/термінали;Елеватор;Полтавська;NA;NA
Елеватори/термінали;Елеватор;Полтавська;NA;NA
Елеватори/термінали;Елеватор;Київська;NA;NA
Елеватори/термінали;Елеватор;Львівська;NA;NA
Елеватори/термінали;Перевантажувальний термінал;Полтавська;NA;NA
Елеватори/термінали;Зерновий елеватор;Кіровоградська;NA;50
Елеватори/термінали;Зерновий елеватор;Вінницька;120;NA
Газові родовищ;Колодницьке газове родовище;Львівська;NA;NA
Газові родовищ;Крехівське газове родовище;Львівська;NA;50
Газові родовищ;Краснокутське газове родовище;Харківська;NA;NA
Газові родовищ;Бистрицьке газове родовище;Львівська;5;95
Газові родовищ;Гірське газове родовище;Львівська;NA;NA
Газові родовищ;Пегедівське газове родовище;Харківська;NA;NA
Інші;Забійний цех;Львівська;NA;6
Інші;Цех із виробництва міцелію;Черкаська;13;22
Інші;Комплекс зі зберігання фруктів та овочів;Запорізька;NA;NA
Інші;"Футбольна школа ""Надія""";Дніпропетровська;NA;NA
Інші;Підприємство з переробки горіху і виготовлення медово-горіхових продуктів;Одеська;30;NA
Тваринницькі приміщення;Інкубаторна станція;Кіровоградська;5;NA
Тваринницькі приміщення;Автоматизований комплекс молочної ферми;Кіровоградська;25;NA
Тваринницькі приміщення;Племінний репродуктор на базі свинокомплексу;Кіровоградська;20;NA
Тваринницькі приміщення;Свинокомплекс №9;Київська;NA;NA
Тваринницькі приміщення;Тваринницький комплекс;Житомирська;NA;25
Тваринницькі приміщення;Тваринницький комплекс;Волинська;33;NA
Тваринницькі приміщення;"Молочна ферма Прикарпаття ""Мукко""";Львівська;NA;NA
Тваринницькі приміщення;Молочний комплекс;Волинська;50;15
Тваринницькі приміщення;Оленяча ферма;Волинська;4;NA
Тваринницькі приміщення;Свинокомплекс;Вінницька;15;96
